,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
81,Tyler Johnson,24,MIA,PG,73,0,2178,.433,13.9,.697,.261,.149,.087,.198,.303,.460,.595,.439,.292,.374,.372,.451,.957,.046,35,.208,.385,2,0,6MOY-11,johnsty01
82,Eric Bledsoe,27,PHO,PG,66,66,2176,.434,13.8,.700,.278,.143,.105,.178,.300,.477,.606,.459,.385,.332,.335,.116,.510,.004,4,.077,.292,4,0,,bledser01
83,Kristaps Porziņģis,21,NYK,PF,66,65,2164,.450,14.1,.681,.207,.162,.196,.116,.319,.493,.701,.338,.482,.360,.357,.668,.982,.086,78,.111,.429,0,0,,porzikr01
84,Nikola Vučević,26,ORL,C,75,55,2163,.468,11.4,.927,.215,.256,.193,.264,.073,.481,.608,.485,.417,.419,.307,.617,1.000,.017,16,.080,.167,0,0,,vucevni01
85,Jamal Crawford,36,LAC,SG,82,1,2157,.413,17.7,.630,.093,.125,.122,.292,.370,.443,.556,.385,.434,.433,.360,.210,.612,.002,2,.171,.382,5,2,6MOY-7,crawfja01
86,Tim Hardaway Jr.,24,ATL,SG,79,30,2154,.455,15.5,.543,.292,.078,.066,.107,.457,.537,.654,.408,.400,.398,.357,.635,.846,.054,47,.168,.414,4,0,6MOY-10,hardati02
87,Mason Plumlee,26,2TM,C,81,64,2148,.536,4.8,.990,.626,.197,.080,.090,.010,.541,.654,.398,.320,.250,.000,.719,,.226,131,.000,,5,0,,plumlma01
87,Mason Plumlee,26,POR,C,54,54,1516,.532,5.3,.989,.609,.190,.081,.109,.011,.538,.658,.381,.389,.250,.000,.740,,.215,90,.000,,4,0,,plumlma01
87,Mason Plumlee,26,DEN,C,27,10,632,.547,4.2,.994,.669,.215,.077,.044,.006,.550,.645,.436,.143,.250,.000,.667,,.254,41,.000,,1,0,,plumlma01
88,Ersan İlyasova,29,3TM,PF,82,52,2142,.431,16.4,.548,.245,.098,.081,.124,.452,.496,.601,.368,.375,.473,.353,.736,.930,.009,8,.204,.427,0,0,,ilyaser01
88,Ersan İlyasova,29,OKC,PF,3,0,62,.375,18.7,.250,.250,.000,.000,.000,.750,.750,.750,,,,.250,.333,1.000,.000,0,.250,.333,0,0,,ilyaser01
88,Ersan İlyasova,29,PHI,PF,53,40,1447,.440,16.0,.540,.235,.100,.077,.128,.460,.509,.658,.369,.320,.458,.359,.736,.925,.011,7,.185,.455,0,0,,ilyaser01
88,Ersan İlyasova,29,ATL,PF,26,12,633,.412,14.6,.593,.274,.097,.097,.119,.407,.455,.452,.364,.500,.519,.348,.754,.938,.004,1,.261,.375,0,0,,ilyaser01
89,Danilo Gallinari,28,DEN,SF,63,63,2134,.447,16.6,.568,.208,.073,.097,.188,.432,.491,.679,.382,.329,.411,.389,.502,.952,.063,39,.185,.433,0,0,,gallida01
90,T.J. McConnell,24,PHI,PG,81,51,2133,.461,9.2,.893,.350,.273,.174,.096,.107,.492,.615,.407,.461,.347,.200,.244,.909,.000,0,.164,.222,2,0,,mccontj01
