,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
333,Isaiah Canaan,25,CHI,SG,39,0,592,.364,17.6,.457,.150,.127,.064,.116,.543,.481,.538,.636,.273,.350,.266,.368,.920,.012,2,.298,.250,0,0,,canaais01
334,Tyler Ennis,22,2TM,PG,53,2,588,.433,12.1,.663,.322,.197,.082,.063,.337,.457,.567,.390,.294,.308,.386,.111,.556,.000,0,.129,.000,1,0,,ennisty01
334,Tyler Ennis,22,HOU,PG,31,0,196,.391,10.7,.750,.328,.297,.047,.078,.250,.396,.667,.263,.000,.000,.375,.053,.667,.000,0,.063,.000,0,0,,ennisty01
334,Tyler Ennis,22,LAL,PG,22,2,392,.451,13.4,.625,.319,.153,.097,.056,.375,.489,.522,.500,.357,.500,.389,.136,.524,.000,0,.148,.000,1,0,,ennisty01
335,Alexis Ajinça,28,NOP,C,39,15,584,.500,9.0,.978,.348,.253,.107,.270,.022,.511,.710,.378,.579,.354,.000,.820,,.129,20,.000,,0,0,,ajincal01
336,Andrew Bogut,32,2TM,C,27,21,583,.469,4.3,.988,.457,.469,.062,.000,.012,.475,.568,.421,.200,,.000,.526,,.099,7,.000,,0,0,,bogutan01
336,Andrew Bogut,32,DAL,C,26,21,582,.469,4.3,.988,.457,.469,.062,.000,.012,.475,.568,.421,.200,,.000,.526,,.099,7,.000,,0,0,,bogutan01
336,Andrew Bogut,32,CLE,C,1,0,1,,,,,,,,,,,,,,,,,,0,,,0,0,,bogutan01
337,Brandon Bass,31,LAC,PF,52,0,577,.575,6.8,.984,.532,.118,.237,.097,.016,.579,.687,.500,.477,.333,.333,.679,1.000,.199,35,.333,.000,0,0,,bassbr01
338,Marcus Thornton,29,WAS,SG,33,1,575,.400,15.1,.619,.214,.171,.071,.162,.381,.431,.600,.333,.467,.294,.350,.482,.750,.000,0,.188,.200,0,0,,thornma01
339,Dragan Bender,19,PHO,PF,43,0,574,.354,18.3,.373,.205,.062,.019,.087,.627,.483,.576,.500,.667,.214,.277,.552,1.000,.031,5,.287,.345,0,0,,bendedr01
340,Thon Maker,19,MIL,C,57,34,562,.459,13.4,.591,.337,.122,.055,.077,.409,.514,.639,.364,.300,.357,.378,.673,1.000,.144,23,.297,.364,0,0,,makerth01
341,Thomas Robinson,25,LAL,PF,48,1,560,.536,4.3,.995,.643,.209,.097,.046,.005,.538,.643,.463,.158,.222,.000,.467,,.153,24,.000,,0,0,,robinth01
342,Beno Udrih,34,DET,PG,39,0,560,.467,14.1,.838,.213,.096,.279,.249,.162,.491,.595,.526,.509,.367,.344,.136,.545,.000,0,.156,.600,4,0,,udrihbe01
343,Kevin Séraphin,27,IND,PF,49,3,559,.551,8.9,.990,.263,.338,.192,.197,.010,.556,.712,.582,.342,.513,.000,.661,,.066,11,.000,,0,0,,serapke01
344,Jarell Martin,22,MEM,PF,42,3,558,.384,9.7,.834,.517,.099,.040,.179,.166,.389,.423,.200,.500,.370,.360,.633,1.000,.113,11,.600,.467,1,0,,martija01
345,Quincy Acy,26,2TM,PF,38,1,558,.412,15.8,.471,.265,.065,.076,.059,.529,.413,.489,.273,.308,.400,.411,.727,.973,.035,6,.278,.360,1,0,,acyqu01
345,Quincy Acy,26,DAL,PF,6,0,48,.294,15.3,.588,.235,.118,.059,.118,.412,.400,.500,.500,1.000,.000,.143,.750,1.000,.118,2,.286,.500,0,0,,acyqu01
345,Quincy Acy,26,BRK,PF,32,1,510,.425,16.3,.458,.268,.059,.078,.052,.542,.414,.488,.222,.250,.500,.434,.724,.972,.026,4,.277,.348,1,0,,acyqu01
346,Troy Williams,22,2TM,SF,30,16,557,.437,13.0,.629,.431,.102,.030,.060,.371,.524,.597,.353,.600,.300,.290,.455,.944,.114,18,.210,.385,1,0,,willitr02
346,Troy Williams,22,MEM,SF,24,13,418,.415,11.4,.667,.463,.098,.033,.065,.333,.500,.561,.333,.500,.375,.244,.390,1.000,.122,14,.220,.333,1,0,,willitr02
346,Troy Williams,22,HOU,SF,6,3,139,.500,14.5,.523,.341,.114,.023,.045,.477,.609,.733,.400,1.000,.000,.381,.643,.875,.091,4,.190,.500,0,0,,willitr02
347,Ian Mahinmi,30,WAS,C,31,0,555,.586,3.1,1.000,.631,.324,.027,.009,.000,.586,.657,.500,.333,.000,,.723,,.117,13,,,0,0,,mahinia01
348,Derrick Jones Jr.,19,PHO,SF,32,8,545,.562,6.0,.909,.620,.149,.050,.091,.091,.591,.733,.278,.500,.182,.273,.677,1.000,.298,33,.455,.600,0,0,,jonesde02
349,José Calderón,35,2TM,PG,41,13,539,.410,18.5,.522,.142,.022,.090,.269,.478,.500,.737,.000,.333,.472,.313,.486,.900,.000,0,.219,.143,0,0,,caldejo01
349,José Calderón,35,LAL,PG,24,11,292,.416,18.6,.558,.104,.039,.143,.273,.442,.465,.750,.000,.364,.476,.353,.400,.917,.000,0,.206,.286,0,0,,caldejo01
349,José Calderón,35,ATL,PG,17,2,247,.404,18.4,.474,.193,.000,.018,.263,.526,.556,.727,,.000,.467,.267,.600,.875,.000,0,.233,.000,0,0,,caldejo01
350,Gerald Green,31,BOS,SF,47,0,538,.409,17.5,.522,.147,.095,.164,.121,.478,.463,.647,.364,.395,.393,.351,.589,.821,.039,8,.279,.355,3,0,,greenge01
351,Cole Aldrich,28,MIN,C,62,0,531,.523,3.0,1.000,.581,.407,.012,.000,.000,.523,.640,.371,.000,,,.733,,.128,11,,,0,0,,aldrico01
352,Tyler Zeller,27,BOS,C,51,5,525,.494,7.6,.994,.500,.190,.019,.285,.006,.497,.620,.400,.000,.378,.000,.846,,.051,8,.000,,0,0,,zellety01
353,Nicolás Brussino,23,DAL,SG,54,2,521,.369,21.0,.326,.085,.064,.028,.149,.674,.500,.750,.556,.250,.381,.305,.609,1.000,.014,1,.168,.500,1,0,,brussni01
354,Shabazz Napier,25,POR,PG,53,2,512,.399,18.3,.497,.202,.055,.055,.186,.503,.429,.432,.400,.400,.441,.370,.128,.647,.000,0,.141,.308,0,0,,napiesh01
355,K.J. McDaniels,23,2TM,SF,49,0,505,.456,12.6,.609,.349,.178,.041,.041,.391,.553,.644,.467,.286,.429,.303,.544,.950,.107,15,.212,.429,0,0,,mcdankj01
355,K.J. McDaniels,23,HOU,SF,29,0,212,.456,12.2,.603,.368,.176,.044,.015,.397,.537,.640,.417,.333,.000,.333,.682,.889,.132,7,.259,.286,0,0,,mcdankj01
355,K.J. McDaniels,23,BRK,SF,20,0,293,.455,12.9,.614,.337,.178,.040,.059,.386,.565,.647,.500,.250,.500,.282,.457,1.000,.089,8,.179,.571,0,0,,mcdankj01
356,Miles Plumlee,28,2TM,C,45,12,484,.478,2.9,1.000,.598,.348,.054,.000,.000,.478,.564,.375,.200,,,.864,,.261,19,,,0,0,,plumlmi01
356,Miles Plumlee,28,MIL,C,32,12,310,.441,3.3,1.000,.574,.368,.059,.000,.000,.441,.538,.320,.250,,,.900,,.250,13,,,0,0,,plumlmi01
356,Miles Plumlee,28,CHO,C,13,0,174,.583,2.5,1.000,.667,.292,.042,.000,.000,.583,.625,.571,.000,,,.786,,.292,6,,,0,0,,plumlmi01
357,Ömer Aşık,30,NOP,C,31,19,482,.477,1.6,1.000,.908,.092,.000,.000,.000,.477,.525,.000,,,,.710,,.262,15,,,0,0,,asikom01
358,Donatas Motiejūnas,26,NOP,PF,34,0,479,.413,12.4,.659,.188,.399,.065,.007,.341,.505,.692,.436,.444,.000,.234,.739,1.000,.014,2,.170,.375,0,0,,motiedo01
359,Okaro White,24,MIA,PF,35,0,471,.379,13.4,.609,.322,.126,.080,.080,.391,.396,.500,.182,.571,.143,.353,.714,1.000,.046,4,.471,.375,0,0,,whiteok01
360,Reggie Bullock,25,DET,SF,31,5,467,.422,17.4,.430,.227,.055,.047,.102,.570,.473,.655,.143,.333,.308,.384,.769,1.000,.000,0,.329,.417,0,0,,bullore01
361,Cameron Payne,22,2TM,PG,31,0,462,.332,17.5,.554,.140,.135,.140,.140,.446,.346,.333,.423,.407,.222,.314,.216,.852,.000,0,.093,.375,1,0,,payneca01
361,Cameron Payne,22,OKC,PG,20,0,320,.331,16.3,.600,.146,.154,.169,.131,.400,.346,.316,.400,.364,.294,.308,.148,.875,.000,0,.077,.500,1,0,,payneca01
361,Cameron Payne,22,CHI,PG,11,0,142,.333,18.8,.460,.127,.095,.079,.159,.540,.345,.375,.500,.600,.100,.324,.400,.818,.000,0,.118,.250,0,0,,payneca01
362,Luis Scola,36,BRK,PF,36,1,461,.470,11.6,.669,.384,.199,.053,.040,.331,.535,.672,.400,.375,.000,.340,.407,.941,.007,1,.360,.389,0,0,,scolalu01
363,Rashad Vaughn,20,MIL,SG,41,2,458,.365,17.3,.481,.167,.115,.058,.141,.519,.413,.654,.167,.111,.455,.321,.677,.846,.019,2,.247,.350,0,0,,vaughra01
364,James Michael McAdoo,24,GSW,PF,52,2,457,.530,5.9,.932,.590,.188,.077,.085,.068,.550,.667,.364,.444,.200,.250,.850,1.000,.291,31,.250,.500,0,0,,mcadoja01
365,Kevon Looney,20,GSW,C,53,4,447,.523,5.1,.916,.701,.121,.037,.056,.084,.551,.680,.231,.000,.000,.222,.833,1.000,.290,28,.000,,0,0,,looneke01
366,Brandan Wright,29,MEM,PF,28,5,447,.615,3.9,.993,.630,.252,.096,.015,.007,.619,.729,.441,.385,.500,.000,.892,,.274,36,.000,,0,0,,wrighbr03
367,Delon Wright,24,TOR,PG,27,0,446,.422,10.3,.741,.379,.233,.069,.052,.259,.453,.568,.407,.375,.000,.333,.128,.600,.043,5,.233,.286,0,0,,wrighde01
368,Jordan Crawford,28,NOP,SG,19,0,442,.482,17.5,.564,.106,.170,.083,.206,.436,.553,.826,.595,.611,.356,.389,.221,.838,.009,2,.116,.273,0,0,,crawfjo02
369,Jeff Withey,26,UTA,C,51,1,432,.534,3.3,.990,.777,.165,.019,.029,.010,.539,.600,.235,1.000,.333,.000,.600,,.068,5,.000,,1,0,,witheje01
370,Brian Roberts,31,CHO,PG,41,2,416,.377,16.2,.639,.172,.115,.123,.230,.361,.372,.429,.143,.333,.464,.386,.345,.882,.000,0,.159,.571,0,0,,roberbr01
371,Sasha Vujačić,32,NYK,SG,42,4,408,.309,20.7,.456,.074,.015,.074,.294,.544,.306,.200,.000,.200,.375,.311,.579,.696,.000,0,.149,.182,1,0,,vujacsa01
372,Wade Baldwin,20,MEM,PG,33,1,405,.313,11.3,.809,.357,.157,.174,.113,.191,.355,.439,.167,.350,.385,.136,.303,.333,.043,4,.182,.000,1,0,,baldwwa01
373,David Nwaba,24,LAL,SG,20,2,397,.580,3.9,.938,.753,.123,.025,.037,.062,.605,.656,.500,.000,.333,.200,.609,1.000,.235,18,.800,.250,0,0,,nwabada01
374,Toney Douglas,30,MEM,PG,24,0,394,.368,16.2,.641,.188,.145,.111,.197,.359,.480,.591,.529,.231,.478,.167,.361,.429,.000,0,.048,.500,2,0,,douglto01
375,Kay Felder,21,CLE,PG,42,0,386,.392,11.4,.861,.342,.108,.133,.278,.139,.404,.500,.059,.381,.432,.318,.200,.714,.000,0,.318,.429,0,0,,feldeka01
376,Kyle Singler,28,OKC,SF,32,2,385,.410,13.2,.554,.386,.084,.048,.036,.446,.587,.719,.286,.250,.333,.189,.630,1.000,.048,4,.405,.200,0,0,,singlky01
377,Jordan McRae,25,CLE,SG,37,4,384,.387,14.1,.660,.287,.113,.127,.133,.340,.404,.442,.353,.105,.650,.353,.375,.944,.033,3,.412,.429,2,0,,mcraejo01
378,James Jones,36,CLE,SF,48,2,381,.478,21.2,.283,.065,.022,.054,.141,.717,.500,.667,.000,.800,.385,.470,.615,.935,.000,0,.364,.500,0,0,,jonesja02
379,Darrun Hilliard,23,DET,SG,39,1,381,.373,16.7,.635,.135,.135,.079,.286,.365,.438,.647,.294,.500,.389,.261,.400,.917,.016,2,.370,.353,0,0,,hillida01
380,Josh McRoberts,29,MIA,PF,22,14,381,.373,12.7,.737,.288,.144,.144,.153,.263,.356,.588,.059,.176,.389,.419,.516,.923,.068,7,.129,.250,0,0,,mcrobjo01
381,DeAndre' Bembry,22,ATL,SF,38,1,371,.480,8.1,.816,.582,.092,.092,.051,.184,.575,.632,.333,.333,.800,.056,.696,1.000,.112,9,.333,.167,1,0,,bembrde01
382,Lance Stephenson,26,3TM,SG,18,0,361,.450,13.4,.833,.250,.133,.150,.300,.167,.480,.733,.438,.222,.417,.300,.396,.667,.017,2,.100,1.000,1,0,,stephla01
382,Lance Stephenson,26,NOP,SG,6,0,162,.473,12.1,.818,.345,.127,.109,.236,.182,.556,.737,.429,.333,.462,.100,.480,.000,.036,2,.100,1.000,1,0,,stephla01
382,Lance Stephenson,26,MIN,SG,6,0,67,.476,14.2,.905,.190,.048,.238,.429,.095,.526,.750,1.000,.000,.667,.000,.400,,.000,0,.000,,0,0,,stephla01
382,Lance Stephenson,26,IND,SG,6,0,132,.409,14.0,.818,.159,.182,.159,.318,.182,.361,.714,.375,.286,.214,.625,.231,.800,.000,0,.125,1.000,0,0,,stephla01
383,Georgios Papagiannis,19,SAC,C,22,0,355,.549,6.4,.980,.363,.392,.157,.069,.020,.560,.730,.500,.438,.286,.000,.554,,.196,18,.000,,0,0,,papagge01
384,Raul Neto,24,UTA,PG,40,0,346,.451,13.7,.659,.396,.110,.066,.099,.341,.517,.639,.500,.000,.333,.323,.258,.900,.000,0,.323,.100,2,0,,netora01
385,Andrew Nicholson,27,2TM,PF,38,0,342,.387,12.8,.757,.216,.297,.180,.063,.243,.452,.708,.364,.250,.571,.185,.658,1.000,.018,2,.222,.000,1,0,,nichoan01
385,Andrew Nicholson,27,WAS,PF,28,0,231,.390,11.1,.792,.234,.364,.156,.039,.208,.443,.667,.357,.333,.333,.188,.630,1.000,.026,2,.250,.000,1,0,,nichoan01
385,Andrew Nicholson,27,BRK,PF,10,0,111,.382,14.5,.676,.176,.147,.235,.118,.324,.478,.833,.400,.125,.750,.182,.727,1.000,.000,0,.182,.000,0,0,,nichoan01
386,Maurice Ndour,24,NYK,PF,32,4,331,.453,8.6,.919,.384,.163,.198,.151,.081,.481,.727,.286,.353,.308,.143,.737,1.000,.105,8,.286,.500,0,0,,ndourma01
387,Dejounte Murray,20,SAS,PG,38,8,322,.431,9.7,.802,.293,.362,.095,.052,.198,.441,.559,.452,.182,.167,.391,.415,.889,.026,3,.217,.600,0,0,,murrade01
388,Pat Connaughton,24,POR,SG,39,1,316,.514,14.5,.542,.375,.056,.014,.097,.458,.513,.667,.250,.000,.143,.515,.800,.941,.056,4,.182,.500,0,0,,connapa01
389,Damjan Rudež,30,ORL,SF,45,0,314,.352,22.3,.273,.045,.011,.045,.170,.727,.458,.750,.000,.500,.400,.313,.727,1.000,.000,0,.172,.091,0,0,,rudezda01
390,Alan Anderson,34,LAC,SF,30,0,308,.375,17.6,.450,.175,.088,.088,.100,.550,.444,.857,.143,.143,.250,.318,.563,.857,.000,0,.364,.250,0,0,,anderal01
391,Chasson Randle,23,2TM,PG,26,0,299,.408,15.3,.520,.327,.133,.041,.020,.480,.471,.531,.385,.500,.000,.340,.292,.688,.010,1,.106,.200,0,0,,randlch01
391,Chasson Randle,23,PHI,PG,8,0,74,.462,17.2,.423,.192,.115,.077,.038,.577,.545,.600,.333,1.000,.000,.400,.500,.500,.000,0,.067,.000,0,0,,randlch01
391,Chasson Randle,23,NYK,PG,18,0,225,.389,13.4,.556,.375,.139,.028,.014,.444,.450,.519,.400,.000,.000,.313,.222,.800,.014,1,.125,.250,0,0,,randlch01
392,Fred VanVleet,22,TOR,PG,37,0,294,.351,11.6,.739,.378,.180,.063,.108,.261,.341,.429,.100,.429,.417,.379,.250,.818,.000,0,.310,.667,1,0,,vanvlfr01
393,Boban Marjanović,28,DET,C,35,0,293,.545,4.7,1.000,.417,.485,.098,.000,.000,.545,.764,.391,.385,,,.653,,.114,13,,,0,0,,marjabo01
394,Sheldon Mac,24,WAS,SG,30,3,287,.400,15.5,.600,.227,.093,.133,.147,.400,.511,.471,.571,.700,.364,.233,.435,.857,.000,0,.400,.083,0,0,,mcclesh01
395,Bryn Forbes,23,SAS,SG,36,0,285,.364,20.3,.465,.030,.061,.091,.283,.535,.413,.000,.333,.222,.536,.321,.474,.765,.000,0,.208,.273,0,0,,forbebr01
396,Paul Pierce,39,LAC,SF,25,7,277,.400,20.0,.386,.086,.029,.129,.143,.614,.481,.500,1.000,.556,.300,.349,.615,1.000,.014,1,.116,.600,0,0,,piercpa01
397,Anthony Bennett,23,BRK,PF,23,1,264,.413,13.9,.478,.370,.087,.011,.011,.522,.568,.676,.250,.000,.000,.271,.440,.923,.098,9,.375,.167,0,0,,bennean01
398,Jake Layman,22,POR,SF,35,1,249,.292,18.7,.427,.191,.056,.022,.157,.573,.342,.471,.400,.500,.143,.255,.692,.923,.045,4,.196,.300,1,0,,laymaja01
399,Deyonta Davis,20,MEM,C,36,0,238,.511,5.3,1.000,.638,.149,.021,.191,.000,.511,.633,.571,.000,.111,,.667,,.255,11,,,0,0,,davisde01
400,Marcelo Huertas,33,LAL,PG,23,1,237,.368,13.3,.721,.132,.279,.279,.029,.279,.429,.667,.316,.474,.000,.211,.238,.500,.000,0,.105,.000,0,0,,huertma01
401,Wayne Selden,22,2TM,SG,14,5,236,.431,18.0,.517,.310,.086,.069,.052,.483,.600,.778,.400,.250,.333,.250,.556,1.000,.069,3,.250,.571,0,0,,seldewa01
401,Wayne Selden,22,NOP,SG,3,3,47,.625,22.0,.125,.125,.000,.000,.000,.875,1.000,1.000,,,,.571,1.000,1.000,.125,1,.286,1.000,0,0,,seldewa01
401,Wayne Selden,22,MEM,SG,11,2,189,.400,14.0,.580,.340,.100,.080,.060,.420,.586,.765,.400,.250,.333,.143,.529,1.000,.060,2,.238,.400,0,0,,seldewa01
402,Shawn Long,24,PHI,C,18,0,234,.560,7.2,.826,.642,.073,.028,.073,.174,.600,.686,.375,.000,.375,.368,.500,1.000,.128,14,.053,.000,0,0,,longsh01
403,Jonathan Gibson,29,DAL,PG,17,0,231,.368,17.9,.526,.179,.063,.095,.189,.474,.400,.412,.333,.556,.333,.333,.300,.800,.000,0,.044,.500,1,0,,gibsojo01
404,James Young,21,BOS,SG,29,0,220,.431,18.0,.397,.172,.086,.069,.069,.603,.565,.900,.400,.250,.250,.343,.769,1.000,.052,2,.371,.385,0,0,,youngja01
405,Rakeem Christmas,25,IND,PF,29,0,219,.442,3.6,1.000,.628,.256,.047,.047,.000,.442,.556,.364,.000,.000,,.737,,.163,5,,,0,0,,chrisra01
406,Archie Goodwin,22,2TM,SG,15,0,214,.545,9.7,.773,.606,.091,.015,.061,.227,.608,.600,.667,1.000,.500,.333,.355,.800,.076,4,.133,1.000,0,0,,goodwar01
406,Archie Goodwin,22,NOP,SG,3,0,30,.400,10.9,.600,.400,.200,.000,.000,.400,.333,.000,1.000,,,.500,.000,1.000,.200,0,.500,1.000,0,0,,goodwar01
406,Archie Goodwin,22,BRK,SG,12,0,184,.557,8.5,.787,.623,.082,.016,.066,.213,.625,.632,.600,1.000,.500,.308,.367,.750,.066,4,.077,1.000,0,0,,goodwar01
407,Briante Weber,24,2TM,PG,20,0,205,.417,12.1,.833,.367,.200,.083,.183,.167,.480,.682,.417,.400,.182,.100,.333,.000,.000,0,.100,.000,0,0,,weberbr01
407,Briante Weber,24,GSW,PG,7,0,46,.357,13.9,.786,.286,.214,.000,.286,.214,.455,.750,.000,,.500,.000,.200,,.000,0,.000,,0,0,,weberbr01
407,Briante Weber,24,CHO,PG,13,0,159,.435,10.4,.848,.391,.196,.109,.152,.152,.487,.667,.556,.400,.000,.143,.368,.000,.000,0,.143,.000,0,0,,weberbr01
408,Cheick Diallo,20,NOP,PF,17,0,199,.474,10.3,1.000,.276,.158,.289,.263,.000,.474,.810,.417,.318,.350,,.667,,.053,4,,.000,0,0,,diallch01
409,Malachi Richardson,21,SAC,SG,22,0,198,.412,18.5,.588,.118,.103,.074,.294,.412,.500,.750,.286,.400,.500,.286,.650,.750,.015,1,.321,.444,1,0,,richama01
410,Mike Scott,28,ATL,PF,18,0,195,.288,16.1,.542,.119,.169,.169,.068,.458,.406,.571,.400,.300,.500,.148,.769,.750,.000,0,.222,.000,0,0,,scottmi01
411,Treveon Graham,23,CHO,SG,27,1,189,.475,14.1,.625,.275,.175,.025,.150,.375,.400,.455,.429,1.000,.167,.600,.600,1.000,.000,0,.400,.500,0,0,,grahatr01
412,Quinn Cook,23,2TM,PG,14,0,188,.500,16.8,.606,.167,.106,.106,.212,.394,.550,.545,.857,.571,.429,.423,.182,.636,.000,0,.154,.250,0,0,,cookqu01
412,Quinn Cook,23,DAL,PG,5,0,77,.440,18.9,.440,.040,.120,.080,.160,.560,.545,.000,1.000,.000,.750,.357,.000,.400,.000,0,.214,.000,0,0,,cookqu01
412,Quinn Cook,23,NOP,PG,9,0,111,.537,14.6,.707,.244,.098,.122,.244,.293,.552,.600,.750,.800,.300,.500,.250,.833,.000,0,.083,1.000,0,0,,cookqu01
413,Nicolás Laprovíttola,27,SAS,PG,18,3,174,.426,16.3,.426,.277,.085,.021,.064,.574,.500,.538,.250,1.000,.333,.370,.300,1.000,.000,0,.111,1.000,0,0,,laproni01
414,Marshall Plumlee,24,NYK,C,21,1,170,.533,3.8,1.000,.633,.233,.000,.100,.000,.533,.684,.286,,.333,,.500,,.167,5,,,0,0,,plumlma02
415,Malik Beasley,20,DEN,SG,22,1,165,.452,12.4,.616,.466,.014,.068,.068,.384,.533,.618,.000,.200,.400,.321,.417,1.000,.068,4,.429,.417,0,0,,beaslma01
416,A.J. Hammons,24,DAL,C,22,0,163,.405,15.4,.762,.190,.071,.143,.357,.238,.375,.500,.000,.167,.467,.500,.917,1.000,.095,4,.200,.000,0,0,,hammoaj01
417,Metta World Peace,37,LAL,SF,25,2,160,.279,19.6,.441,.132,.059,.059,.191,.559,.333,.444,.500,.500,.154,.237,.300,.889,.000,0,.263,.200,1,0,,artesro01
418,Anthony Brown,24,2TM,SF,11,0,159,.360,18.6,.460,.140,.100,.060,.160,.540,.478,.571,.400,.333,.500,.259,.545,.571,.040,2,.148,.500,0,0,,brownan02
418,Anthony Brown,24,NOP,SF,9,0,143,.341,18.2,.415,.171,.098,.049,.098,.585,.471,.571,.500,.000,.500,.250,.625,.667,.049,2,.167,.500,0,0,,brownan02
418,Anthony Brown,24,ORL,SF,2,0,16,.444,18.9,.667,.000,.111,.111,.444,.333,.500,,.000,1.000,.500,.333,.333,.000,.000,0,.000,,0,0,,brownan02
419,Alex Poythress,23,PHI,PF,6,1,157,.463,10.8,.648,.500,.074,.074,.000,.352,.543,.556,.750,.250,,.316,.579,1.000,.037,2,.316,.500,0,0,,poythal01
420,Mike Miller,36,DEN,SF,20,0,151,.391,23.5,.130,.000,.087,.000,.043,.870,.333,,.500,,.000,.400,1.000,1.000,.000,0,.050,.000,0,0,,millemi01
421,Henry Ellenson,20,DET,PF,19,2,146,.359,17.6,.453,.219,.047,.047,.156,.547,.448,.643,.333,.000,.300,.286,.615,1.000,.000,0,.171,.167,0,0,,ellenhe01
422,Jordan Mickey,22,BOS,PF,25,1,141,.441,5.3,.971,.676,.147,.000,.147,.029,.455,.522,.200,,.400,.000,.733,,.235,8,1.000,.000,0,0,,mickejo01
423,Joe Young,24,IND,PG,33,0,135,.361,16.3,.681,.181,.083,.153,.264,.319,.429,.462,.500,.273,.474,.217,.238,.400,.028,2,.174,.250,1,0,,youngjo01
424,Adreian Payne,25,MIN,PF,18,0,135,.426,12.6,.722,.315,.148,.074,.185,.278,.513,.471,.500,.750,.500,.200,.650,1.000,.074,4,.133,.000,0,0,,paynead01
425,Ronnie Price,33,PHO,PG,14,0,134,.167,21.3,.292,.083,.042,.083,.083,.708,.143,.000,.000,.500,.000,.176,.000,.667,.000,0,.235,.250,0,0,,pricero01
426,Udonis Haslem,36,MIA,C,16,0,130,.478,8.0,.870,.478,.217,.000,.174,.130,.550,.818,.400,,.000,.000,.636,,.043,1,.333,.000,0,0,,hasleud01
427,Nick Collison,36,OKC,PF,20,0,128,.609,5.3,.957,.565,.304,.043,.043,.043,.636,.769,.429,.000,1.000,.000,.643,,.043,1,.000,,0,0,,collini01
428,Norris Cole,28,OKC,PG,13,0,125,.308,14.8,.750,.173,.154,.135,.288,.250,.333,.333,.375,.286,.333,.231,.231,1.000,.000,0,.077,1.000,0,0,,coleno01
429,Bobby Brown,32,HOU,PG,25,0,123,.383,20.0,.417,.067,.133,.100,.117,.583,.360,.250,.375,.333,.429,.400,.222,.786,.000,0,.086,.667,0,0,,brownbo02
430,Joel Anthony,34,SAS,C,19,0,122,.625,3.8,1.000,.563,.313,.125,.000,.000,.625,.778,.400,.500,,,.800,,.250,4,,,0,0,,anthojo01
431,Jared Sullinger,24,TOR,PF,11,1,118,.319,15.6,.617,.255,.149,.085,.149,.383,.414,.583,.143,.500,.286,.167,.833,.667,.000,0,.056,1.000,0,0,,sullija01
432,Jarrod Uthoff,23,DAL,PF,9,0,115,.421,11.9,.763,.237,.211,.184,.132,.237,.448,.556,.500,.429,.200,.333,.615,.667,.132,3,.556,.600,0,0,,uthofja01
433,Chris Andersen,38,CLE,C,12,0,114,.409,7.4,.864,.636,.045,.045,.136,.136,.474,.500,1.000,.000,.333,.000,.556,,.136,3,.000,,0,0,,anderch01
434,Ryan Kelly,25,ATL,PF,16,0,110,.286,15.2,.643,.179,.179,.071,.214,.357,.222,.400,.000,.500,.167,.400,1.000,1.000,.036,1,.400,.750,0,0,,kellyry01
435,C.J. Wilcox,26,ORL,SG,22,0,108,.258,19.5,.516,.129,.000,.032,.355,.484,.313,.000,,1.000,.364,.200,.600,1.000,.000,0,.200,.000,0,0,,wilcocj01
436,Stephen Zimmerman,20,ORL,C,19,0,108,.323,8.1,1.000,.290,.323,.258,.129,.000,.323,.556,.300,.125,.250,,.600,,.065,2,,,0,0,,zimmest01
437,Christian Wood,21,CHO,PF,13,0,107,.522,7.2,.783,.652,.087,.043,.000,.217,.667,.800,.000,.000,,.000,.500,,.217,5,.200,.000,0,0,,woodch01
438,Gary Payton II,24,MIL,PG,6,0,99,.364,12.8,.591,.364,.136,.091,.000,.409,.538,.750,.000,.500,,.111,.571,1.000,.091,2,.000,,0,0,,paytoga02
439,Georges Niang,23,IND,PF,23,0,93,.250,12.0,.667,.306,.250,.083,.028,.333,.333,.455,.333,.000,.000,.083,.625,1.000,.000,0,.250,.333,0,0,,niangge01
440,Anderson Varejão,34,GSW,C,14,1,92,.357,5.0,1.000,.500,.357,.143,.000,.000,.357,.286,.400,.500,,,.600,,.000,0,,,0,0,,varejan01
441,Alonzo Gee,29,DEN,SF,13,0,89,.214,10.0,.786,.429,.143,.143,.000,.214,.273,.500,.000,.000,,.000,.667,,.143,2,.667,.000,0,0,,geeal01
442,Damian Jones,21,GSW,C,10,0,85,.500,8.4,1.000,.563,.000,.000,.438,.000,.500,.778,,,.143,,.750,,.188,3,,,0,0,,jonesda03
443,Pierre Jackson,25,DAL,PG,8,1,84,.333,14.3,.718,.282,.077,.103,.256,.282,.357,.455,.333,.250,.300,.273,.100,.667,.000,0,.091,1.000,0,0,,jackspi01
